Actual_Rainfall,Predicted_Rainfall
3374.8999999999996,2592.128
2538.6,2746.449
3157.1000000000004,2717.3403
3828.000000000002,2793.6157
3497.6000000000004,3009.0537
3757.7000000000003,3133.8816
2622.5,3275.6309
2904.5,3138.7534
2851.9,3048.7444
2890.0,2976.9297
3519.0040352421347,2929.1465
3626.3955034680707,3025.0513
5486.3,3156.4983
4693.9000000000015,3669.308
4106.7,3920.9001
5691.4,3956.161
4187.2,4311.043
3507.5,4266.272
4450.5,4053.8254
4439.8,4082.1357
3521.6,4121.977
5253.200000000002,3948.7317
5272.700000000002,4185.183
4320.1,4385.424
4334.299999999998,4328.7344
4872.099999999999,4274.0073
4850.899999999999,4334.179
3773.4,4399.1924
4575.6,4212.907
4173.499999999999,4224.0415
4788.700000000002,4155.5024
3375.1000000000004,4248.802
6129.100000000001,3998.2202
3898.6,4404.278
4099.5,4257.613
4220.2,4162.8643
3828.299999999999,4106.591
4326.6,3982.7676
3904.3,4005.353
3649.2,3933.1025
4011.2,3820.3958
4369.099999999999,3802.1355
6331.099999999999,3891.73
4874.8,4392.899
2621.247704447633,4486.823
3354.3,4027.16
2396.1,3786.909
2675.714712918661,3412.3848
3843.93764920706,3165.7297
5063.5,3244.442
4195.5,3629.768
3709.400000000001,3767.846
3676.5,3734.7385
4810.825542419168,3659.1106
4138.0,3861.4126
4959.299999999998,3914.6648
2196.8,4118.6104
2209.7000000000007,3683.5164
1668.4999999999998,3292.7922
2138.9,2857.1018
1877.8,2593.617
1973.4,2373.8271
2184.600000000001,2232.5833
2281.3,2177.7058
2457.6,2160.0405
3064.0,2200.4622
2213.4,2359.675
2419.6,2363.204
3774.4,2370.7734
2531.0,2665.1094
2773.7,2679.3137
3215.4000000000005,2699.6294
2790.8,2803.7173
2779.4,2807.9783
3335.1,2793.1045
3278.0999999999995,2892.8813
3266.4,2971.8816
2495.6,3039.105
3433.2999999999993,2921.1023
4155.4,2984.7224
3281.7,3233.6274
3604.1,3260.6401
3434.500000000001,3318.0151
2706.8,3330.3027
3348.9,3177.6514
2287.3,3167.03
3068.8,2954.308
2520.6,2924.9214
2274.9,2821.304
3616.6999999999994,2668.8257
2316.7000000000007,2815.6362
2596.9000000000005,2718.732
2035.9,2658.8315
2389.3,2500.435
2451.7,2437.7913
2545.8,2409.7795
2335.5,2428.347
2259.399999999999,2397.8518
3020.6000000000013,2356.7498
2244.4999999999995,2480.199
1750.0,2433.0515
2855.5999999999995,2282.0488
2193.5999999999995,2358.8901
3440.4999999999995,2335.1333
2042.9000000000003,2553.7102
2403.0999999999995,2478.456
2767.5,2441.339
2706.8,2492.9602
2745.5,2539.2332
2498.7,2575.6936
2952.1000000000013,2560.9324
2544.600000000001,2637.6096
2664.2000000000007,2615.401
2790.700000000001,2616.2224
2663.2,2631.519
2521.3,2637.6467
2277.8,2604.251
2377.0,2517.242
2887.3,2460.474
3096.1000000000013,2526.348
2743.4,2648.9666
2760.4999999999995,2676.8088
2343.9,2690.7979
3165.2000000000003,2608.4316
2601.0000000000005,2696.9592
2520.0,2679.2317
3106.8,2633.6272
2344.0999999999995,2716.265
2623.7000000000007,2642.1035
2999.5,2611.279
2262.0000000000005,2670.4348
2440.4,2584.154
2691.6,2527.4326
2550.4999999999995,2542.5347
2511.5999999999995,2529.5752
2792.9,2515.1487
2634.1,2560.9692
2953.8,2568.5278
2550.8,2644.5352
2800.1,2626.479
2888.6000000000013,2645.0378
2339.1,2692.1125
3074.800000000001,2616.1492
2678.5,2686.3918
2671.3,2685.1313
2324.600000000001,2672.3237
2786.5,2583.886
2401.5000000000005,2598.937
2451.7,2545.2056
2709.4,2507.3774
2677.100000000001,2529.3953
2703.8,2551.286
2524.4,2580.7688
2665.7,2558.468
2679.5000000000005,2566.76
2643.2000000000007,2580.2246
3185.5000000000005,2588.2249
2983.3,2701.6953
2392.4,2771.7092
2613.9,2694.4705
2851.2999999999997,2651.1772
2560.0,2671.8254
2859.200000000001,2639.2744
2761.200000000001,2669.8113
2802.9000000000005,2681.8005
2256.9999999999995,2697.6702
2626.5,2597.019
2535.7,2567.9597
2342.2000000000007,2541.473
2195.4,2488.1257
2296.0,2406.9678
2511.7,2355.8035
2729.7000000000007,2369.2007
2398.9,2434.3535
2789.3,2429.581
2123.3,2492.9094
2530.8,2422.4712
2332.3,2420.8154
3048.5,2392.208
2315.1,2516.177
2379.100000000001,2490.8406
2672.1,2456.5454
3403.6,2484.164
2270.6,2670.0708
1956.0,2611.109
2616.7,2454.0925
2011.8,2451.526
2188.4,2348.3218
2289.2,2288.8696
2079.3,2261.8718
2382.3,2214.8145
2620.2,2232.7046
3156.899999999999,2305.9722
2801.700000000001,2480.8792
2592.7,2577.3826
2921.6000000000013,2595.247
3261.700000000001,2654.141
2682.3,2786.6797
2771.200000000001,2777.7024
2838.0,2765.738
2259.7,2770.277
2879.2,2652.6562
2121.3,2666.6829
2885.9999999999995,2537.5312
2466.8,2575.562
2372.2000000000007,2548.7932
2803.1000000000013,2494.4802
2594.1,2532.0796
2486.8,2542.1384
2178.6,2521.304
2392.6,2434.4448
2434.2000000000007,2403.2017
2994.2,2389.1616
2468.2000000000007,2508.5652
1898.7,2508.4124
2752.7,2376.6562
2339.6,2420.606
2068.2,2398.326
2711.4,2318.261
1743.5000000000002,2375.23
2609.4,2251.5432
1816.5,2292.6658
2206.2,2195.0215
2471.0,2164.5928
2266.7,2214.365
2711.600000000001,2234.1526
2168.3,2324.9182
2174.9,2305.1404
2230.9,2271.2715
2519.600000000001,2243.8945
2527.5,2295.086
2514.5,2341.5762
2121.8,2386.3271
2319.2000000000007,2333.7766
2308.8,2311.5696
2268.1,2299.8704
2479.800000000001,2279.7744
2308.9,2312.9116
2613.1,2313.0178
2529.100000000001,2369.046
